"DO NOT MODIFY THIS SHEET UNLESS IT IS NECESSARY!
In column C, put the name of the worksheet containing the Supporting information for a given instruction.
In columns D, E, F, add text to be concatenated for writing a protocol.",,,,,,
PREPARING THE SAMPLES,Please define a centrifugation option:,Centrifugation,,The_sample_is_submitted_to_flotation-gradient_centrifugation.,_,The_sample_is_submitted_to_flotation-gradient_centrifugation._
PREPARING THE SAMPLES,Please define a filtration option:,Filtration,,The_sample_is_filtered_with_filter_paper.,_,The_sample_is_filtered_with_filter_paper._
PREPARING THE SAMPLES,Please define a filtration option:,Filtration,,The_sample_is_filtered_using_a_syringe_filter.,_,The_sample_is_filtered_using_a_syringe_filter._
PREPARING THE SAMPLES,Woud you like to concentrate or purify the sample?,Concentration-purification,,Sample_concentration_is_done_,_,Sample_concentration_is_done__
PREPARING THE SAMPLES,Woud you like to concentrate or purify the sample?,Concentration-purification,,Sample_purification_is_done_,_,Sample_purification_is_done__
PREPARING THE SAMPLES,Woud you like to concentrate or purify the sample?,Concentration-purification,,Sample_is_not_concentrated_nor_purified.,_,Sample_is_not_concentrated_nor_purified._
PREPARING THE SAMPLES,Please choose a concentration technique:,Concentration,,using_freeze_drying,._,using_freeze_drying._
PREPARING THE SAMPLES,Please choose a concentration technique:,Concentration,,by_evaporation_under_vacuum_or_nitrogen_flow,._,by_evaporation_under_vacuum_or_nitrogen_flow._
PREPARING THE SAMPLES,Please choose a purification option:,Purification,,by_solid_phase_extraction_(SPE_columns),._,by_solid_phase_extraction_(SPE_columns)._
PREPARING THE SAMPLES,Please choose a purification option:,Purification,,by_liquid-liquid_extraction,._,by_liquid-liquid_extraction._
PREPARING THE SAMPLES,Please choose a purification option:,Purification,,by_dialysis,._,by_dialysis._
PREPARING THE SAMPLES,Please choose an additional concentration option (if required):,Additional concentration,,The_resulting_sample_is_then_concentrated_by_freeze-drying,._,The_resulting_sample_is_then_concentrated_by_freeze-drying._
PREPARING THE SAMPLES,Please choose an additional concentration option (if required):,Additional concentration,,The_resulting_sample_is_then_concentrated_by_evaporation_under_vacuum_or_nitrogen_flow,._,The_resulting_sample_is_then_concentrated_by_evaporation_under_vacuum_or_nitrogen_flow._
PREPARING THE SAMPLES,Please choose an additional concentration option (if required):,Additional concentration,,,,
PREPARING THE SAMPLES,Choose the temperature at which the final sample will be stored before analysis:,Temperature before analysis,"Before_analysis,_the_sample_is_stored_",at_-80_degree_Celsius,._,"Before_analysis,_the_sample_is_stored_at_-80_degree_Celsius._"
PREPARING THE SAMPLES,Choose the temperature at which the final sample will be stored before analysis:,Temperature before analysis,"Before_analysis,_the_sample_is_stored_",at_-20_degree_Celsius,._,"Before_analysis,_the_sample_is_stored_at_-20_degree_Celsius._"
PREPARING THE SAMPLES,Choose the temperature at which the final sample will be stored before analysis:,Temperature before analysis,"Before_analysis,_the_sample_is_stored_",at_+4_degree_Celsius,._,"Before_analysis,_the_sample_is_stored_at_+4_degree_Celsius._"
PREPARING THE SAMPLES,Choose the temperature at which the final sample will be stored before analysis:,Temperature before analysis,"Before_analysis,_the_sample_is_stored_",at_ambient_temperature,._,"Before_analysis,_the_sample_is_stored_at_ambient_temperature._"
ANALYZING THE SAMPLES,Choose the general type of analysis to perform:,Analysis type,Sample_analysis_is_based_on_,the_measurement_of_the_total_dry_mass_of_the_sample,_,Sample_analysis_is_based_on_the_measurement_of_the_total_dry_mass_of_the_sample_
ANALYZING THE SAMPLES,Choose the general type of analysis to perform:,Analysis type,Sample_analysis_is_based_on_,the_quantification_of_concentrations_in_the_sample,_,Sample_analysis_is_based_on_the_quantification_of_concentrations_in_the_sample_
ANALYZING THE SAMPLES,Choose the general type of analysis to perform:,Analysis type,Sample_analysis_is_based_on_,the_identifications_of_compounds_in_the_sample,_,Sample_analysis_is_based_on_the_identifications_of_compounds_in_the_sample_
ANALYZING THE SAMPLES,Choose the general type of analysis to perform:,Analysis type,Sample_analysis_is_based_on_,image_analysis,_,Sample_analysis_is_based_on_image_analysis_
ANALYZING THE SAMPLES,Please choose the type of analysis:,Chemical analysis,and_aims_to_quantify_,elemental_C_and_N_in_solids,._,and_aims_to_quantify_elemental_C_and_N_in_solids._
ANALYZING THE SAMPLES,Please choose the type of analysis:,Chemical analysis,and_aims_to_quantify_,dissolved_organic_C_or_dissolved_N,._,and_aims_to_quantify_dissolved_organic_C_or_dissolved_N._
ANALYZING THE SAMPLES,Please choose the type of analysis:,Chemical analysis,and_aims_to_quantify_,groups_of_compounds_by_colorimetry,._,and_aims_to_quantify_groups_of_compounds_by_colorimetry._
ANALYZING THE SAMPLES,Please choose the type of analysis:,Chemical analysis,using_,molecular_analysis,._,using_molecular_analysis._
ANALYZING THE SAMPLES,Please select an option for this analysis:,Targeting,,Targeted_compounds_are_analyzed_using,_,Targeted_compounds_are_analyzed_using_
ANALYZING THE SAMPLES,Please select an option for this analysis:,Targeting,,,,
ANALYZING THE SAMPLES,Please select the perimeter of this analysis:,Omics,,Metabolomics_is_applied_using,_,Metabolomics_is_applied_using_
ANALYZING THE SAMPLES,Please select the perimeter of this analysis:,Omics,,Proteomics_is_applied_using,_,Proteomics_is_applied_using_
ANALYZING THE SAMPLES,Please select the perimeter of this analysis:,Omics,,Transcriptomics/genomics_is_applied_using,_,Transcriptomics/genomics_is_applied_using_
ANALYZING THE SAMPLES,Please select the perimeter of this analysis:,Omics,,"An_alternative_""omics""_approach_is_applied_using",_,"An_alternative_""omics""_approach_is_applied_using_"
ANALYZING THE SAMPLES,Please choose the type of MS analysis:,MS,,gas_chromatography_coupled_to_mass_spectrometry_(GC-MS).,_,gas_chromatography_coupled_to_mass_spectrometry_(GC-MS)._
ANALYZING THE SAMPLES,Please choose the type of MS analysis:,MS,,liquid_chromatography_coupled_to_mass_spectrometry_(LC-MS).,_,liquid_chromatography_coupled_to_mass_spectrometry_(LC-MS)._
ANALYZING THE SAMPLES,Please choose the type of MS analysis:,MS,,an_analytical_method_distinct_from_GC-MS_or_LC-MS.,_,an_analytical_method_distinct_from_GC-MS_or_LC-MS._
ANALYZING THE SAMPLES,Please choose a specific imaging technique:,Imaging,and_,counting_(ex:_flow_cytometry),._,and_counting_(ex:_flow_cytometry)._
ANALYZING THE SAMPLES,Please choose a specific imaging technique:,Imaging,and_aims_to_,localize_specific_compounds_and_perform_a_relative_quantification.,._,and_aims_to_localize_specific_compounds_and_perform_a_relative_quantification.._
ANALYZING THE SAMPLES,Please choose a specific imaging technique:,Imaging,,,,
